season,round,week,day,home,xg_home,xg_away,away,attendance,venue,referee,match_report,match_datetime,score_home,score_away
2017,Round of 16,,Tue,Paris S-G,1.1,2.2,Real Madrid,46585,Parc des Princes,Felix Brych,9bdff23e,2018-03-06 02:45:00,1,2
2017,Round of 16,,Wed,Tottenham,1.7,1.5,Juventus,84010,Wembley Stadium,Szymon Marciniak,19a6e95f,2018-03-07 02:45:00,1,2
2017,Round of 16,,Wed,Manchester City,1.6,0.6,Basel,49411,Etihad Stadium,Pavel Královec,35540190,2018-03-07 02:45:00,1,2
2017,Round of 16,,Tue,Manchester Utd,1.9,1.7,Sevilla,74909,Old Trafford,Danny Makkelie,c794989a,2018-03-13 02:45:00,1,2
2017,Round of 16,,Tue,Roma,0.7,0.2,Shakhtar,47693,Stadio Olimpico,Alberto Undiano,7d227d55,2018-03-13 02:45:00,1,0
2017,Round of 16,,Wed,Beşiktaş,1.2,2.1,Bayern Munich,36885,Vodafone Arena,Michael Oliver,db080732,2018-03-14 00:00:00,1,3
2017,Round of 16,,Wed,Barcelona,1.0,0.7,Chelsea,97183,Camp Nou,Damir Skomina,37029ff4,2018-03-14 02:45:00,3,0
2017,Quarter-finals,,Tue,Sevilla,0.9,1.4,Bayern Munich,40635,Estadio Ramón Sánchez Pizjuán,Daniele Orsato,0c836452,2018-04-03 01:45:00,1,2
2017,Quarter-finals,,Tue,Juventus,1.6,3.1,Real Madrid,40849,Allianz Stadium,Cüneyt Çakιr,4f057387,2018-04-03 01:45:00,0,3
2017,Quarter-finals,,Wed,Liverpool,1.6,0.6,Manchester City,50685,Anfield,Felix Brych,7f1b8f75,2018-04-04 01:45:00,3,0
2017,Quarter-finals,,Wed,Barcelona,1.9,1.7,Roma,90106,Camp Nou,Danny Makkelie,ed570f1a,2018-04-04 01:45:00,4,1
2017,Quarter-finals,,Tue,Manchester City,1.2,0.8,Liverpool,53461,Etihad Stadium,Antonio Matéu Lahoz,d838d566,2018-04-10 01:45:00,1,2
2017,Quarter-finals,,Tue,Roma,2.7,0.9,Barcelona,56580,Stadio Olimpico,Clément Turpin,facc75fa,2018-04-10 01:45:00,3,0
2017,Quarter-finals,,Wed,Bayern Munich,1.2,0.6,Sevilla,70000,Allianz Arena,William Collum,215e3753,2018-04-11 01:45:00,0,0
2017,Quarter-finals,,Wed,Real Madrid,2.7,2.7,Juventus,75796,Estadio Santiago Bernabéu,Michael Oliver,ef2140d3,2018-04-11 01:45:00,1,3
2017,Semi-finals,,Tue,Liverpool,3.7,1.9,Roma,51236,Anfield,Felix Brych,a2f4d0d5,2018-04-24 01:45:00,5,2
2017,Semi-finals,,Wed,Bayern Munich,1.9,0.7,Real Madrid,70000,Allianz Arena,Björn Kuipers,f5ca2565,2018-04-25 01:45:00,1,2
2017,Semi-finals,,Tue,Real Madrid,1.8,3.0,Bayern Munich,77459,Estadio Santiago Bernabéu,Cüneyt Çakιr,38beee5e,2018-05-01 01:45:00,2,2
2017,Semi-finals,,Wed,Roma,2.4,1.6,Liverpool,61889,Stadio Olimpico,Damir Skomina,089590e2,2018-05-02 01:45:00,4,2
2017,Final,,Sat,Real Madrid,1.5,1.9,Liverpool,61561,NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,8f71b212,2018-05-26 01:45:00,3,1
