Season,Round,Week,Day,Date,Time,Home,xG_Home,Score,xG_Away,Away,Attendance,Venue,Referee,Match Report
2017,Group stage,5,Tue,2017-11-21,19:45 (02:45),Manchester City eng,1.3,1–0,0.3,nl Feyenoord,"43,548",Etihad Stadium,Ivan Kružliak,7b0e879a
2017,Group stage,5,Tue,2017-11-21,20:00 (00:00),Beşiktaş tr,0.7,1–1,0.7,pt Porto,"36,919",Vodafone Arena,Antonio Matéu Lahoz,93dc4350
2017,Group stage,5,Tue,2017-11-21,20:00 (00:00),Spartak Moscow ru,1.4,1–1,1.2,si NK Maribor,"42,920",Otkrytie Arena,William Collum,bdfd629a
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Sevilla es,1.9,3–3,2.3,eng Liverpool,"39,495",Estadio Ramón Sánchez Pizjuán,Felix Brych,06b7ba00
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Napoli it,1.9,3–0,0.5,ua Shakhtar,"10,573",Stadio San Paolo,Damir Skomina,0b2ff06a
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Dortmund de,1.1,1–2,1.1,eng Tottenham,"65,849",Signal Iduna Park,Clément Turpin,9e4e2580
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Monaco fr,0.8,1–4,1.5,de RB Leipzig,"9,029",Stade Louis II,Alberto Undiano,f71119db
2017,Group stage,5,Tue,2017-11-21,21:45 (02:45),APOEL FC cy,0.5,0–6,3.7,es Real Madrid,"19,705",Neo GSP,Artur Soares Dias,6da6de2c
2017,Group stage,5,Wed,2017-11-22,19:45 (02:45),Sporting CP pt,2.0,3–1,0.4,gr Olympiacos,"42,528",Estádio José Alvalade,Felix Zwayer,476e861f
2017,Group stage,5,Wed,2017-11-22,20:00 (00:00),CSKA Moscow ru,1.0,2–0,1.0,pt Benfica,"27,709",VEB Arena,Deniz Aytekin,58d664dd
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Juventus it,0.5,0–0,0.9,es Barcelona,"40,876",Allianz Stadium,Milorad Mažić,01d41d2e
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Basel ch,1.1,1–0,1.5,eng Manchester Utd,"36,000",St. Jakob-Park,Daniele Orsato,509fe222
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Anderlecht be,1.8,1–2,2.2,de Bayern Munich,"19,753",Stade Constant Vanden Stock,Anthony Taylor,8082f4d0
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Paris S-G fr,2.8,7–1,0.3,sct Celtic,"46,288",Parc des Princes,Tasos Sidiropoulos,cc6cbd90
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Atlético Madrid es,1.4,2–0,0.5,it Roma,"56,253",Estadio Wanda Metropolitano,Björn Kuipers,f32e5d65
2017,Group stage,5,Wed,2017-11-22,21:00 (00:00),Qarabağ az,0.2,0–4,3.9,eng Chelsea,"67,100",Bakı Olimpiya Stadionu,Jorge de Sousa,c03452c3
2017,,,,,,,,,,,,,,
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Chelsea eng,2.9,1–1,1.0,es Atlético Madrid,"40,875",Stamford Bridge,Danny Makkelie,1998dd31
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Celtic sct,0.8,0–1,0.7,be Anderlecht,"57,931",Celtic Park,Matej Jug,379b4447
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Manchester Utd eng,2.9,2–1,0.8,ru CSKA Moscow,"74,669",Old Trafford,Gianluca Rocchi,66d0083b
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Benfica pt,1.4,0–2,1.4,ch Basel,"22,470",Estádio do Sport Lisboa e Benfica,Jesús Gil,e4e1ffe5
2017,Group stage,6,Tue,2017-12-05,20:45 (02:45),Barcelona es,1.2,2–0,1.0,pt Sporting CP,"48,336",Camp Nou,Craig Thomson,17adc8d4
