Season,Natural Key,Name,Nation,Positions,Squad_ID,Squad,Born
2017,f175ca0a,Michiel Kramer,nl NED,FW,fb4ca611,nl Feyenoord,1988
2017,1c8dc17d,Michael Krohn-Dehli,dk DEN,MF,ad2be733,es Sevilla,1983
2017,6ce1f46f,Toni Kroos,de GER,MF,53a2f082,es Real Madrid,1990
2017,292a652a,Serhiy Kryvtsov,ua UKR,DF,e89d5a28,ua Shakhtar,1991
2017,ccc66d00,Konstantin Kuchayev,ru RUS,"MF,FW",f0c0c2c2,ru CSKA Moscow,1998
2017,83534f30,Sven Kums,be BEL,MF,08ad393c,be Anderlecht,1988
2017,41e7ef1c,Layvin Kurzawa,fr FRA,DF,e2d8892c,fr Paris S-G,1992
2017,ef8cafeb,Ilya Kutepov,ru RUS,DF,8c635914,ru Spartak Moscow,1993
2017,5984e9f9,Léo Lacroix,ch SUI,DF,d3d9424a,ch Basel,1992
2017,98e0ad35,Roberto Lago,es ESP,DF,eab315a6,cy APOEL FC,1985
2017,c1b7847c,Konrad Laimer,at AUT,MF,acbb6a5b,de RB Leipzig,1997
2017,99813635,Adam Lallana,eng ENG,FW,822bd0ba,eng Liverpool,1988
2017,abe66106,Érik Lamela,ar ARG,"FW,MF",361ca564,eng Tottenham,1992
2017,864db10a,Michael Lang,ch SUI,"MF,DF",d3d9424a,ch Basel,1991
2017,119b9a8e,Aymeric Laporte,es ESP,DF,b8fd03ef,eng Manchester City,1994
2017,32e73151,Sam Larsson,se SWE,FW,fb4ca611,nl Feyenoord,1993
2017,ad6295d4,Miguel Layún,mx MEX,"DF,MF",5e876ee6,pt Porto,1988
2017,4dbd0916,Thomas Lemar,fr FRA,"MF,FW",fd6114db,fr Monaco,1995
2017,4f28a6ff,Clément Lenglet,fr FRA,DF,ad2be733,es Sevilla,1995
2017,6f1721f0,Jeremain Lens,nl NED,FW,0f9294bd,tr Beşiktaş,1987
2017,8d78e732,Robert Lewandowski,pl POL,FW,054efa67,de Bayern Munich,1988
2017,99b1d0e6,Stephan Lichtsteiner,ch SUI,DF,e0652b02,it Juventus,1984
2017,f5deef4c,Victor Lindelöf,se SWE,DF,19538871,eng Manchester Utd,1994
2017,810e3c74,Jesse Lingard,eng ENG,"MF,FW",19538871,eng Manchester Utd,1992
2017,82dbf623,Fernando Llorente,es ESP,FW,361ca564,eng Tottenham,1985
2017,02c15616,Marcos Llorente,es ESP,MF,53a2f082,es Real Madrid,1995
2017,8f62b6ee,Hugo Lloris,fr FRA,GK,361ca564,eng Tottenham,1986
2017,d7553721,Giovani Lo Celso,ar ARG,MF,e2d8892c,fr Paris S-G,1996
2017,7c2965bb,Rony Lopes,pt POR,"MF,FW",fd6114db,fr Monaco,1995
2017,8320fe65,Lisandro López,ar ARG,DF,a77c513e,pt Benfica,1989
2017,6d4d9e18,Vágner Love,br BRA,FW,0f9294bd,tr Beşiktaş,1984
2017,1a2935f6,Dejan Lovren,hr CRO,DF,822bd0ba,eng Liverpool,1989
2017,e4ed2628,Filipe Luís,br BRA,DF,db3b9613,es Atlético Madrid,1985
2017,520c318f,Zé Luís,cv CPV,FW,8c635914,ru Spartak Moscow,1991
2017,60a93897,Luisão,br BRA,DF,a77c513e,pt Benfica,1981
2017,c0e27d1a,David Luiz,br BRA,"DF,MF",cff3d9bb,eng Chelsea,1987
2017,5eae500a,Romelu Lukaku,be BEL,FW,19538871,eng Manchester Utd,1993
2017,54c9ed15,Mikael Lustig,se SWE,DF,b81aa4fa,sct Celtic,1986
2017,7be09c86,Mahir Madatov,az AZE,"MF,FW",44b65410,az Qarabağ,1997
2017,31d7f557,Christian Maggio,it ITA,DF,d48ad4ff,it Napoli,1982
2017,46907171,Abdul Majeed Waris,gh GHA,"MF,FW",5e876ee6,pt Porto,1991
